order_item_id,order_id,product_id,quantity,unit_price,discount_amount,item_revenue,discount_applied,final_price
1,1,1132,3,3635.19,810.37,10095.2,30,2544.633
2,1,999,1,3833.28,456.75,3376.53,20,3066.6240000000003
3,1,1154,2,77226.75,12917.96,141535.54,20,61781.4
4,1,632,1,2584.26,13.83,2570.43,10,2325.8340000000003
5,1,249,1,2119.28,154.8,1964.48,0,2119.28
6,2,751,1,808.3,87.54,720.76,0,808.3
7,2,446,1,2938.62,391.23,2547.39,0,2938.62
8,3,886,2,293.19,17.06,569.32,30,205.233
9,4,981,1,999.21,1.45,997.76,20,799.368
10,5,425,3,4814.38,1884.46,12558.68,0,4814.38
11,6,1596,3,4337.02,0.0,13011.06,20,3469.6160000000004
12,7,798,1,3718.85,0.0,3718.85,10,3346.965
13,8,1116,3,9372.19,0.0,28116.57,20,7497.752
14,8,386,1,5216.92,0.0,5216.92,10,4695.228
15,9,1497,1,9582.92,752.46,8830.46,30,6708.044
16,9,481,1,1789.37,247.42,1541.95,30,1252.5589999999995
17,10,879,1,1776.89,0.0,1776.89,20,1421.5120000000002
18,10,1456,1,63693.01,0.0,63693.01,20,50954.408
19,10,722,1,844.52,0.0,844.52,30,591.164
20,10,103,1,3868.11,0.0,3868.11,0,3868.11
21,11,146,1,80324.28,0.0,80324.28,0,80324.28
22,11,71,1,75515.31,0.0,75515.31,10,67963.779
23,12,528,1,1071.66,16.44,1055.22,30,750.162
24,13,1517,1,3093.55,53.2,3040.35,20,2474.84
25,14,592,1,1067.91,0.0,1067.91,10,961.119
26,15,1385,1,22894.15,0.0,22894.15,20,18315.320000000003
27,16,234,1,47459.41,43.89,47415.52,30,33221.587
28,16,349,1,1459.37,172.15,1287.22,30,1021.559
29,17,867,2,26390.91,3524.93,49256.89,10,23751.819
30,18,952,1,28872.88,0.0,28872.88,10,25985.592
31,18,601,1,131194.89,0.0,131194.89,30,91836.423
32,19,1461,1,33088.65,2582.0,30506.65,0,33088.65
33,19,965,1,1353.94,80.65,1273.29,20,1083.152
34,19,160,1,589.97,5.13,584.84,0,589.97
35,20,1283,1,1043.73,0.0,1043.73,30,730.611
36,21,922,1,1939.57,0.0,1939.57,0,1939.57
37,22,542,1,62378.47,1169.46,61209.01,10,56140.623
38,22,1003,1,3138.55,147.6,2990.95,20,2510.84
39,23,1402,1,66573.21,9801.59,56771.62,30,46601.247
40,24,53,1,2531.12,304.14,2226.98,30,1771.784
41,25,878,1,26128.07,813.98,25314.09,30,18289.649
42,25,699,1,3048.78,339.06,2709.72,10,2743.902
43,25,1393,2,36343.46,7877.8,64809.12,0,36343.46
44,26,90,2,664.2,52.95,1275.45,0,664.2
45,27,1384,2,2175.55,636.86,3714.24,0,2175.55
46,28,14,1,2125.0,102.0,2023.0,30,1487.5
47,29,529,1,2902.91,233.95,2668.96,20,2322.328
48,30,698,1,38785.26,1722.72,37062.54,20,31028.208
49,30,1121,1,3804.86,1.69,3803.17,10,3424.3740000000003
50,31,912,1,767.48,48.86,718.62,30,537.236
51,32,45,2,5292.4,1332.83,9251.97,10,4763.16
52,33,1326,1,1936.13,93.76,1842.37,0,1936.13
53,33,1474,1,74873.86,6168.36,68705.5,0,74873.86
54,33,974,1,1464.98,11.0,1453.98,0,1464.98
55,33,497,1,3615.69,512.4,3103.29,10,3254.121
56,33,184,1,392.62,46.36,346.26,10,353.358
57,34,401,2,1312.43,95.33,2529.53,0,1312.43
58,35,1124,1,28111.89,0.0,28111.89,10,25300.701
59,36,1243,1,2783.2,0.0,2783.2,30,1948.24
60,37,745,1,64361.62,3626.75,60734.87,10,57925.458000000006
61,38,1168,1,918.19,90.61,827.58,10,826.3710000000001
62,38,77,1,375.9,21.26,354.64,20,300.72
63,39,428,1,13300.7,596.52,12704.18,10,11970.63
64,40,1299,1,3414.72,103.28,3311.44,30,2390.304
65,40,506,1,1834.39,20.15,1814.24,0,1834.39
66,41,513,1,35628.09,3881.08,31747.01,0,35628.09
67,41,452,1,8006.2,919.14,7087.06,20,6404.96
68,41,1256,1,3347.61,174.57,3173.04,30,2343.327
69,41,16,2,85267.12,9747.01,160787.23,30,59686.98399999999
70,41,1186,1,2233.01,54.32,2178.69,10,2009.7090000000003
71,42,1046,1,9087.52,0.0,9087.52,10,8178.768000000001
72,43,872,1,369.78,0.0,369.78,30,258.84599999999995
73,44,77,1,375.9,13.32,362.58,0,375.9
74,45,1150,1,2765.55,166.27,2599.28,10,2488.9950000000003
75,46,185,1,987.57,93.09,894.48,30,691.299
76,47,1265,1,753.76,44.81,708.95,20,603.008
77,48,1220,1,37492.11,0.0,37492.11,10,33742.899000000005
78,49,1089,1,76783.54,0.0,76783.54,20,61426.832
79,49,223,1,986.9,0.0,986.9,10,888.21
80,49,34,1,3014.06,0.0,3014.06,30,2109.842
81,49,1388,2,44645.42,0.0,89290.84,10,40180.878
82,49,1454,1,2482.25,0.0,2482.25,20,1985.8
83,50,118,1,29857.44,402.62,29454.82,0,29857.44
84,51,1272,1,126747.72,0.0,126747.72,30,88723.404
85,52,1173,1,33473.5,3445.48,30028.02,30,23431.45
86,52,1263,1,5431.26,33.39,5397.87,30,3801.882
87,52,37,1,1893.59,28.86,1864.73,20,1514.872
88,52,1458,1,3481.03,257.93,3223.1,10,3132.927
89,52,486,1,2457.37,318.72,2138.65,10,2211.633
90,53,1228,1,8753.11,0.0,8753.11,10,7877.799000000001
91,53,974,1,1464.98,0.0,1464.98,0,1464.98
92,53,579,1,96143.92,0.0,96143.92,30,67300.74399999999
93,54,1546,1,5167.64,273.89,4893.75,20,4134.112
94,54,83,1,67349.49,1633.36,65716.13,30,47144.643
95,55,1348,1,3802.67,558.31,3244.36,0,3802.67
96,56,409,1,1326.94,83.72,1243.22,30,928.858
97,57,440,2,1285.35,0.0,2570.7,20,1028.28
98,58,915,3,40160.77,0.0,120482.31,10,36144.693
99,58,1,1,3822.34,0.0,3822.34,30,2675.638
100,59,315,2,29996.05,0.0,59992.1,20,23996.84
101,60,1431,1,949.29,0.0,949.29,0,949.29
102,60,1143,1,761.45,0.0,761.45,30,533.015
103,60,1450,1,2010.76,0.0,2010.76,20,1608.6080000000002
104,60,379,1,231.54,0.0,231.54,30,162.07799999999995
105,61,1249,1,2813.36,216.56,2596.8,10,2532.0240000000003
106,62,1385,1,22894.15,2294.23,20599.92,20,18315.320000000003
107,63,139,2,1485.23,173.71,2796.75,0,1485.23
108,63,1550,1,1412.93,54.12,1358.81,20,1130.344
109,64,476,3,76487.54,16198.04,213264.58,10,68838.786
110,64,427,2,51715.55,8034.86,95396.24,20,41372.44
111,65,1358,1,5886.45,26.82,5859.63,20,4709.16
112,66,1217,1,2877.25,0.0,2877.25,30,2014.075
113,67,58,1,2642.32,0.0,2642.32,10,2378.088
114,68,100,2,2961.16,457.94,5464.38,30,2072.812
115,69,818,3,1924.73,54.67,5719.52,0,1924.73
116,69,930,1,225.23,15.72,209.51,0,225.23
117,70,96,2,2121.52,0.0,4243.04,0,2121.52
118,71,1024,2,2654.56,682.36,4626.76,0,2654.56
119,72,1471,1,3182.48,77.52,3104.96,30,2227.736
120,73,1156,1,96292.57,0.0,96292.57,30,67404.799
121,74,279,1,41417.49,1956.43,39461.06,30,28992.242999999995
122,75,1572,1,2427.87,0.0,2427.87,30,1699.5089999999998
123,76,536,1,2418.45,0.0,2418.45,30,1692.9149999999995
124,76,1177,1,1318.54,0.0,1318.54,20,1054.832
125,77,1490,1,516.42,23.73,492.69,30,361.494
126,77,273,1,5210.97,67.2,5143.77,10,4689.8730000000005
127,77,1242,1,120746.52,12781.05,107965.47,30,84522.564
128,77,309,1,47983.47,84.48,47898.99,30,33588.429
129,78,74,1,2354.49,121.62,2232.87,10,2119.041
